Transcript	SRR6080007	SRR6080008	SRR6080009	SRR6080012	SRR6080013	SRR6080014
AT3G20870.3	126.023	160.041	104.556	200.301	133.924	259.798
AT3G20880.1	0	0	0	2	2	1
AT3G20885.1	0	0	0	0	0	0
AT3G20890.1	75.8583	111.883	78.9205	138.223	131.385	87.2466
AT3G20890.2	146.142	102.117	120.08	97.7765	81.6147	140.163
AT3G20898.1	45.6923	74.1566	48.7592	89.3245	89.3229	108.638
AT3G20900.1	21.3077	25.8434	30.2408	39.6761	38.6771	62.3617
AT3G20910.1	108	106	108	190	187	183
AT3G20920.1	421.984	449	388.834	567	533	624
AT3G20920.2	0.016321	1.59514e-8	28.1656	2.49575e-7	0	2.94621e-5
AT3G20930.1	142.371	167.108	122.113	117.446	149.892	129.958
AT3G20930.2	574.615	603.892	435.887	534.53	570.082	601.027
AT3G20935.1	1.01383	5.87563	3	3.02466	4.02595	2.02407
AT3G20940.1	0	1.17735	1	0	0	1.00436
AT3G20950.1	0	0	0	0	0	0
AT3G20960.1	17.7406	24	42	71	67	83
AT3G20960.2	8.25939	0	0	0	0	0
AT3G20970.1	369.987	404.247	191.857	240.778	178.552	287.546
AT3G20970.2	168.013	116.753	339.143	246.222	233.448	158.055
AT3G20978.1	5	7	7	2	1	5
AT3G20980.1	2	0	1	0	0	0
AT3G20993.1	0	0	0	0	0	0
AT3G20997.1	0	0	0	0	0	0
AT3G21000.1	6.07496	6	4	7	4.04961	6
AT3G21055.1	559.895	677.81	510.403	465.463	570.75	488.543
AT3G21055.2	43930.1	46772.2	46836.6	33795.5	40414.2	38032.5
AT3G21060.1	312	392	309	493	433	474
AT3G21070.1	12.1282	0	7.43419	38.5099	7.72527	13.1969
AT3G21070.2	502.159	463.377	468.616	722.773	664.275	680.152
AT3G21070.3	0	0	0	0	0	0
AT3G21070.4	2.71313	5.62315	6.94999	11.7174	0	2.65147
AT3G21080.1	17	20	23	90	39	29
AT3G21090.1	36.0448	66.0481	53.056	46	32.0199	86.1115
AT3G21100.1	71.0196	46.3189	0	109.697	24.1597	59.4218
AT3G21100.2	9.0785	23.2061	0	54.9131	18.1826	28.0216
AT3G21100.3	7.94027	53.5018	86.5645	49.3743	94.523	73.3347
AT3G21100.4	69.0466	114.973	139.436	107.015	129.135	169.222
AT3G21110.1	130.176	168.609	181.127	188.814	102.822	122.461
AT3G21110.2	0	14.2527	17.539	0	24.8093	15.8365
AT3G21110.3	310.739	275.138	227.334	167.186	225.369	183.703
AT3G21120.1	0	0	0	0	0	0
AT3G21130.1	0	1	0	0	0	0
AT3G21140.1	349.829	360.388	336	477	388	436.785
AT3G21150.1	116	157	219	208	137	99
AT3G21160.1	328.755	368	310	392.042	411.749	423.468
AT3G21160.2	33.6509	0	0	44.9583	39.2513	90.9608
AT3G21165.1	0	0	0	0	0	0
AT3G21170.1	0	0	0	0	0	0
AT3G21175.1	203.3	183.491	149.772	211.571	245.285	267.946
AT3G21175.2	86.0259	73.6291	87.1838	131.742	87.8221	90.6027
AT3G21175.3	14.6745	13.88	10.0447	81.2614	16.8931	33.0364
AT3G21180.1	0	0	0	1.00224	0	1.0016
AT3G21190.1	590	582	563	1033	812	962.998
AT3G21200.1	2645	2249.99	2123.99	1774	1714	1563
AT3G21210.1	16	19.0128	21.0073	31	20	36
AT3G21215.1	292.932	350.276	229.933	350.27	299.449	502.239
AT3G21215.2	229.394	553.496	222.613	828.246	575.497	291.922
AT3G21215.3	93.7267	0	118.059	74.5209	33.2233	44.039
AT3G21215.4	510.947	284.227	506.394	152.963	283.832	643.801
AT3G21220.1	22.6051	8.86744	18.5522	61.3951	46.5592	46.6861
AT3G21220.2	585.058	619.41	718.448	1076.63	894.441	798.314
AT3G21230.1	0	0	0	0	1.23073	0
AT3G21230.2	8.35977	5.88534	31.9484	12.6439	24.7679	31.1281
AT3G21230.3	10.8243	13.3019	20.7605	82.0349	22.7516	41.0803
AT3G21230.4	48.8159	55.8127	46.2911	276.321	210.25	142.792
AT3G21240.1	68.0462	114.728	135.049	291.307	133.572	228
AT3G21240.2	34.9538	14.3712	0	40.9819	20.5056	0
AT3G21240.3	0	0	0	5.63577e-8	0	0
AT3G21250.1	0.00387423	0.416005	0	127.82	56.2627	204.175
AT3G21250.2	50.8932	53.4757	0	38.59	205.066	0.0806896
AT3G21250.3	1.67358e-8	0	0	0	0	0
AT3G21250.4	112.423	82.4865	4.70278	0.943023	9.60225	6.58655e-4
